"crash_unit_id","rd_no","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"756302","JC466120","2019-10-08T06:55:00","2","PARKED",,"718403",,"MAZDA","CX-7","IL","2015","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","W","PARKED",,,"0",,,,,,,,,,"true",,,,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755402","JC464280","2019-10-08T06:55:00","1","DRIVER",,"717554",,"AUDI","A6","IL","2012","NONE","PASSENGER","PERSONAL","NW","TURNING LEFT",,,"1",,,,,,,"true",,,,,,,,,,,"SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"756772","JC466998","2019-10-08T06:50:00","1","DRIVER",,"718847",,"HONDA","ACCORD","IL","2015","UNKNOWN","PASSENGER","PERSONAL","N","TURNING RIGHT",,,"1",,,,,,,"true","true",,,,,,,,,,"REAR-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"756773","JC466998","2019-10-08T06:50:00","2","DRIVER",,"718851",,"KIA MOTORS CORP","Optima","IL","2014","UNKNOWN","PASSENGER","PERSONAL","N","TURNING RIGHT",,,"1",,,,,,,,,,,,,,,"true",,,"TOTAL (ALL AREAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755391","JC464272","2019-10-08T06:45:00","1","DRIVER",,"717551",,"KIA MOTORS CORP","FORTE","IL","2017","NONE","PASSENGER","PERSONAL","S","TURNING RIGHT",,,"1",,,,,,,,,,,,,,,"true","true",,"TOTAL (ALL AREAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755392","JC464272","2019-10-08T06:45:00","2","DRIVER",,"717545",,"HONDA","HONDA","IL","2016","NONE","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,"true",,,,,,"FRONT-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755389","JC464273","2019-10-08T06:30:00","1","DRIVER","1","717541",,"TOYOTA MOTOR COMPANY, LTD.","UNKNOWN","IL","2015","UNKNOWN","PASSENGER","TAXI/FOR HIRE","S","SLOW/STOP IN TRAFFIC",,,"2",,,,,,,,,,,,,"true",,,,,"ROOF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755390","JC464273","2019-10-08T06:30:00","2","DRIVER",,"717542",,"ISUZU","UNKNOWN","IL","2015","UNKNOWN","TRUCK - SINGLE UNIT","COMMERCIAL - SINGLE UNIT","SE","STRAIGHT AHEAD",,,"1",,,,,,"true",,,,,,"false",,,,,,"SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755404","JC464275","2019-10-08T06:22:00","1","DRIVER",,"717578",,"HYUNDAI","SONATA","IL","2013","NONE","PASSENGER","PERSONAL","E","CHANGING LANES",,,"1",,,,,,,,,,,"true",,,,,,,"SIDE-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755405","JC464275","2019-10-08T06:22:00","2","DRIVER",,"717619",,"BUICK","ENCLAVE","IL","2013","NONE","PASSENGER","PERSONAL","E","STRAIGHT AHEAD",,,"1",,,,,"true",,,,,,,,,,,,,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
